text,star
"


														
															
															
																리얼을 피했는데 이걸 못피했네 
															
														
														
													
",1
"


														
															
															
																김지운씨 요새 집에 우환있으세요?? 장화홍련  놈놈놈 영화 좀 괜찮게 만드시다 왜 이러세요?? 뭐  비트코인하셨어요?? 
															
														
														
													
",1
"


														
															
															
																정말 지루하고 말도안되는 스토리 
															
														
														
													
",1
"


														
															
															
																진짜ㄹㅇ로재미가없음 
															
														
														
													
",1
"


														
															
															
																분명 댓글알바 있다고 본다 ㅋㅋㅋ 봐라 영화  내만 죽을수없다 ㅋㅋㅋ 
															
														
														
													
",1
"


														
															
															
																망작이라고 들어봤나. 
															
														
														
													
",2
"


														
															
															
																잠들라고하면 총소리남. 
															
														
														
													
",1
"


														
															
															
																골든슬럼버에 이어서  강동원-한효주 조합은 망작 진리인게 판명됐다 
															
														
														
													
",1
"


														
															
															
																아 팝콘 너무 맛있다. 팝콘에 집중이 되네 
															
														
														
													
",4
"


														
															
															
																강동원 요즘따라 고르는 작품마다 왜그러냐....한효주랑 되도록이면 안엮이는게 좋을듯 
															
														
														
													
",1
"


														
															
															
																아이언맨도 저거보단 빨리 죽겠다 ㅋㅋㅋ 한쪽은 무적슈트 입었는데 양복입은 애들이 떼거지로 몰려들면 잘도 죽이겠네겨우 두 번 만나놓고 10년지기 연인처럼 애틋한 로맨스 끼워넣기는 덤 
															
														
														
													
",2
"


														
															
															
																마이너스 점수는 왜 존재하지 않는가? 
															
														
														
													
",1
"


														
															
															
																진짜 재미없다; 아무리 봐줘도 6점이상은 알바라고 본다; 
															
														
														
													
",1
"


														
															
															
																한국인이면 미션임파서블 보자 
															
														
														
													
",1
"


														
															
															
																리얼  하고 삐까 친다. 레알 
															
														
														
													
",1
"


														
															
															
																김지운 감독은 이 영화로  20년 동안 쌓아온 공든 탑이 와르르 
															
														
														
													
",1
"




																		액션’만’ 좋았다. 원작 대사를 그대로 가지고 온건지 너무나도 오그라드는 부분이 많았고. 빨간두건 이야기를 들려주는 부분은 너무나도 아마추어 같았다. 이 부분만 좀더 잘 표현했다면 이해안되는 멜로도 좀더 나아지지 않...
																	


",1
"


														
															
															
																노잼  입니다 ㅡ.ㅡ    핵노잼 
															
														
														
													
",1
"
관람객


														
															
															
																왜 둘이 그렇게 애틋한 사이가 되었는지 설명해 줄 사람 구함. 
															
														
														
													
",1
"


														
															
															
																중학생이 sf시나리오 쓴걸 수정 없이 그냥 다 담아낸 영화내용도 이상하고 연관성도 없고 뭐 하나 제대로 된거 없음 
															
														
														
													
",1
"




																		어제 시사회로 봤는데 영화 끝나고 관람객 다 같이 한숨 쉬고. 뜬금없이 강동원,한효주 연애물 찍을때부터 망한느낌이 들었구요. 시사회로 봤는데도 돈이 아까웠어요.. 영화가 재미없는걸 떠나서 무슨내용인지를 하나도 모르겠...
																	


",1
"
관람객


														
															
															
																기대작 한편이 날라갔다 
															
														
														
													
",5
"


														
															
															
																왜이렇게 욕먹는지 모르겠네 난 액션씬 짜릿해서 좋았고 원작이랑 연결되는 빨간망토 인상깊었음 
															
														
														
													
",10
"


														
															
															
																보통 개봉하고 한 일주일은 알바들 평점으로 버티는데 하루만에 반토막나네 ㅋㅋㅋ시사회 보고온 친구가 절대 보지 말라고 홍보하고 다니던데 ㅋㅋㅋㅋ 
															
														
														
													
",1
"


														
															
															
																어제 시사회에 다녀와서 하루 일찍보았네요. 권력이 암투를 이야기하면서 이야기를 풀어갔지만 남북통일을 앞둔 상황이라는 스토리에 개연성이 느껴지진않았습니다. 타워액션씬등은 눈에 좋았습니다. 
															
														
														
													
",7
"




																		시사회보고왔습니다.발음문제인지 오디오문제인지 뭔말하는지 안들리는 점액션은 아저씨보다 구리고, 마녀보다도 구립니다진심 액션이 좋다는 분들 영화 첨보시나봐요이게 근미래의 액션입니까총가지고 근접해서 총뺏기고 쳐맞는게과연 ...
																	


",2
"
관람객


														
															
															
																멜로가 없었으면 더 좋았을듯.... 각인(?)된 늑대의 모습을 노린 느낌인데 그게 좀 어색했다. 그외 전반적인 액션신은 아름답다. 
															
														
														
													
",10
"




																		와..진짜 알바많네 원작응 말아먹은 수준이 아니라 모욕하는 수준의 영환데 사람들이 속을거같냐jQuery22408587704968788344_1532491616033 그리고 통일통일 외치는 것들이 시위 폭력 써대지 영...
																	


",1
"


														
															
															
																미장센과 아름다룬 색감, 그리고 스타일리쉬한 액션신까지. 김지운 감독에게 원한 모든 것을 대부분 만족시켜준 영화. 8점이 적당해보이는 데 별점 테러 감안해 1점 올려봄. 
															
														
														
													
",9
"


														
															
															
																난생처음 영화보다가 튀쳐나온 영화 골든슬럼버도 버텼는데 못버티겠더라구요... 
															
														
														
													
",1
"


														
															
															
																액션신이 정말 잘빠졌고 개인적으로 아쉬운 점은 멜로부분이 빠졌으면 더 스토리상 이해도 잘가고 집중도 높았을듯 재밌었음 
															
														
														
													
",10
"


														
															
															
																시사회 티켓 준 누나한테 잠시나마 원망했다. 미안해요 
															
														
														
													
",1
"


														
															
															
																28년 살며 본 영화 키스씬중 제일 불편했습니다. 
															
														
														
													
",5
"


														
															
															
																아 내 돈 ㅜㅠ올해 들어 최악의 선택이었다 차라리 그 돈으로 삼계탕 사먹으면 아깝지나 않지 ㅜㅠ 
															
														
														
													
",1
"


														
															
															
																비주얼로는 깔 수가 없다 배우들 좋아하시고 눈호강 하시려면 보세요 
															
														
														
													
",10
"




																		독특하고화려한액션씬,김지운감독특유분위기연출에 각배우가 잘어울리는옷을입은느낌을줘서전체적으로좋은시너지가 나온것같다. 원작자체 개연성이 그닥이라 이정도 각색이면 무난하지않나싶음. 배우들뿐아니라 영화자체 비주얼도최고였고, ...
																	


",9
"


														
															
															
																왜 여전히 이런 영화가 만들어지는지 이해할 수 없었다. 
															
														
														
													
",1
"


														
															
															
																침묵하는 평론가들 , 긴장하는 영화 관계자들 
															
														
														
													
",4
"


														
															
															
																불면증 있는 분들 추천해드리고요 난 중국영화인줄 알았어요 
															
														
														
													
",1
"


														
															
															
																인랑 실사화 정말 잘 만들었음 ~! 액션 진짜 멋있네 잼있게 봤음!!! 
															
														
														
													
",10
"


														
															
															
																아 미션 시간만 맞았어도 피할 수 있었는데 ㅠ 
															
														
														
													
",1
"


														
															
															
																정우성하고 난민하고 빨리 사라졌으면.. 합니다. 
															
														
														
													
",1
